I0731 05:38:02.013574       1 server_linux.go:63] "Using iptables proxy"
I0731 05:38:02.731596       1 server.go:715] "Successfully retrieved node IP(s)" IPs=["192.168.49.2"]
E0731 05:38:02.731964       1 server.go:245] "Kube-proxy configuration may be incomplete or incorrect" err="nodePortAddresses is unset; NodePort connections will be accepted on all local IPs. Consider using `--nodeport-addresses primary`"
I0731 05:38:03.025216       1 server.go:254] "kube-proxy running in dual-stack mode" primary ipFamily="IPv4"
I0731 05:38:03.025405       1 server_linux.go:145] "Using iptables Proxier"
I0731 05:38:03.040000       1 proxier.go:243] "Setting route_localnet=1 to allow node-ports on localhost; to change this either disable iptables.localhostNodePorts (--iptables-localhost-nodeports) or set nodePortAddresses (--nodeport-addresses) to filter loopback addresses" ipFamily="IPv4"
I0731 05:38:03.043686       1 server.go:516] "Version info" version="v1.33.1"
I0731 05:38:03.043826       1 server.go:518] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
I0731 05:38:03.146987       1 config.go:199] "Starting service config controller"
I0731 05:38:03.147022       1 shared_informer.go:350] "Waiting for caches to sync" controller="service config"
I0731 05:38:03.148072       1 config.go:105] "Starting endpoint slice config controller"
I0731 05:38:03.148094       1 shared_informer.go:350] "Waiting for caches to sync" controller="endpoint slice config"
I0731 05:38:03.158207       1 config.go:329] "Starting node config controller"
I0731 05:38:03.158256       1 shared_informer.go:350] "Waiting for caches to sync" controller="node config"
I0731 05:38:03.158286       1 config.go:440] "Starting serviceCIDR config controller"
I0731 05:38:03.158290       1 shared_informer.go:350] "Waiting for caches to sync" controller="serviceCIDR config"
I0731 05:38:03.247214       1 shared_informer.go:357] "Caches are synced" controller="service config"
I0731 05:38:03.249958       1 shared_informer.go:357] "Caches are synced" controller="endpoint slice config"
I0731 05:38:03.260044       1 shared_informer.go:357] "Caches are synced" controller="node config"
I0731 05:38:03.359673       1 shared_informer.go:357] "Caches are synced" controller="serviceCIDR config"
I0731 08:02:25.759940       1 reflector.go:556] "Warning: watch ended with error" reflector="k8s.io/client-go/informers/factory.go:160" type="*v1.ServiceCIDR" err="an error on the server (\"unable to decode an event from the watch stream: http2: client connection lost\") has prevented the request from succeeding"
I0731 08:02:25.760116       1 reflector.go:556] "Warning: watch ended with error" reflector="k8s.io/client-go/informers/factory.go:160" type="*v1.EndpointSlice" err="an error on the server (\"unable to decode an event from the watch stream: http2: client connection lost\") has prevented the request from succeeding"
I0731 08:02:28.362878       1 reflector.go:556] "Warning: watch ended with error" reflector="k8s.io/client-go/informers/factory.go:160" type="*v1.Node" err="an error on the server (\"unable to decode an event from the watch stream: http2: client connection lost\") has prevented the request from succeeding"
I0731 08:02:28.392779       1 reflector.go:556] "Warning: watch ended with error" reflector="k8s.io/client-go/informers/factory.go:160" type="*v1.Service" err="an error on the server (\"unable to decode an event from the watch stream: http2: client connection lost\") has prevented the request from succeeding"
I0731 08:02:41.586837       1 request.go:752] "Waited before sending request" delay="2.62158762s" reason="client-side throttling, not priority and fairness" verb="GET" URL="https://control-plane.minikube.internal:8443/apis/networking.k8s.io/v1/servicecidrs?labelSelector=%21service.kubernetes.io%2Fheadless%2C%21service.kubernetes.io%2Fservice-proxy-name&resourceVersion=66523"
I0731 08:19:43.040409       1 reflector.go:556] "Warning: watch ended with error" reflector="k8s.io/client-go/informers/factory.go:160" type="*v1.Node" err="an error on the server (\"unable to decode an event from the watch stream: http2: client connection lost\") has prevented the request from succeeding"
I0731 08:19:46.208374       1 reflector.go:556] "Warning: watch ended with error" reflector="k8s.io/client-go/informers/factory.go:160" type="*v1.ServiceCIDR" err="an error on the server (\"unable to decode an event from the watch stream: http2: client connection lost\") has prevented the request from succeeding"
I0731 08:19:43.010418       1 reflector.go:556] "Warning: watch ended with error" reflector="k8s.io/client-go/informers/factory.go:160" type="*v1.EndpointSlice" err="an error on the server (\"unable to decode an event from the watch stream: http2: client connection lost\") has prevented the request from succeeding"
I0731 08:19:57.367639       1 reflector.go:556] "Warning: watch ended with error" reflector="k8s.io/client-go/informers/factory.go:160" type="*v1.Service" err="an error on the server (\"unable to decode an event from the watch stream: http2: client connection lost\") has prevented the request from succeeding"
